"Severity","ThreadID","Date","Time","Application","Message"
"INFO","qtp1667914171-128","09/04/2014","14:14:13","","in pseudoconstructor"
"INFO","qtp1667914171-128","09/04/2014","14:14:13","","in pseudoconstructor"
"INFO","qtp1667914171-128","09/04/2014","14:14:13","","in run()"
"INFO","qtp1667914171-128","09/04/2014","14:14:13","","in describe()'s callback"
"INFO","qtp1667914171-128","09/04/2014","14:14:13","","in beforeEach()'s callback"
"INFO","qtp1667914171-128","09/04/2014","14:14:13","","in beforeEach()'s expect()'s callback"
"INFO","qtp1667914171-128","09/04/2014","14:14:13","","in it()'s callback"
"INFO","qtp1667914171-128","09/04/2014","14:14:13","","in it()'s expect()'s callback"
"INFO","qtp1667914171-128","09/04/2014","14:14:13","","in afterEach()'s callback"
"INFO","qtp1667914171-128","09/04/2014","14:14:13","","in afterEach()'s expect()'s callback"
